id,date,total_agr_land,workforce,trees,arable_land,ley,perm_grass,perm_crops,prot_cult,add_agr_land,oth_land,qual_landscape,spec_crops,grapes,vegetables,fruits,oth_spec_crops,animal_unit,cattle_animal_unit,dairy_cows,suckler_cows,hor_shee_goa,pigs_poultry,pigs,poultry,eco_proof,organic,farmtype,region,age,educ,cons_general,percep_hail,percep_drought,percep_frost,percep_heavyrain,percep_longrain,percep_heat,cons_farm,self_reduc,self_act,self_cap,self_conf,self_not,legum,legum_eff,conc,conc_eff,add,add_eff,lact,lact_eff,breed,breed_eff,covman,covman_eff,comp,comp_eff,drag,drag_eff,cov,cov_eff,plough,plough_eff,solar,solar_eff,biog,biog_eff,ecodr,ecodr_eff,legum_imag,conc_imag,add_imag,lact_imag,breed_imag,covman_imag,comp_imag,drag_imag,cov_imag,plough_imag,solar_imag,biog_imag,ecodr_imag,activ_dairy,activ_cattle,activ_pig,activ_poultry,activ_arab,activ_special,activ_nonag,attain_ghg,attain_yield,attain_biodiv,attain_soil,attain_incom,attain_acknow,innov_pion,innov_early,innov_thorou,innov_others,innov_trad,satisf_ldw,thresh_ldw,satisf_total,thresh_total,share,others_opinions,soc_impr,soc_inc,soc_env,soc_compinc,soc_compenv,net_name1_neigh,net_name1_work,net_name1_frien,net_name1_fam,net_name1_part,net_name1_club,net_name1_vet,net_name1_ext,net_name1_oth,net_name2_neigh,net_name2_work,net_name2_frien,net_name2_fam,net_name2_part,net_name2_club,net_name2_vet,net_name2_ext,net_name2_oth,net_name3_neigh,net_name3_work,net_name3_frien,net_name3_fam,net_name3_part,net_name3_club,net_name3_vet,net_name3_ext,net_name3_oth,net_name4_neigh,net_name4_work,net_name4_frien,net_name4_fam,net_name4_part,net_name4_club,net_name4_vet,net_name4_ext,net_name4_oth,net_name5_neigh,net_name5_work,net_name5_frien,net_name5_fam,net_name5_part,net_name5_club,net_name5_vet,net_name5_ext,net_name5_oth,net_name6_neigh,net_name6_work,net_name6_frien,net_name6_fam,net_name6_part,net_name6_club,net_name6_vet,net_name6_ext,net_name6_oth,net_name7_neigh,net_name7_work,net_name7_frien,net_name7_fam,net_name7_part,net_name7_club,net_name7_vet,net_name7_ext,net_name7_oth,net_name8_neigh,net_name8_work,net_name8_frien,net_name8_fam,net_name8_part,net_name8_club,net_name8_vet,net_name8_ext,net_name8_oth,net_name9_neigh,net_name9_work,net_name9_frien,net_name9_fam,net_name9_part,net_name9_club,net_name9_vet,net_name9_ext,net_name9_oth,net_name10_neigh,net_name10_work,net_name10_frien,net_name10_fam,net_name10_part,net_name10_club,net_name10_vet,net_name10_ext,net_name10_oth,net_name1_imp,net_name2_imp,net_name3_imp,net_name4_imp,net_name5_imp,net_name6_imp,net_name7_imp,net_name8_imp,net_name9_imp,net_name10_imp,lott_1,lott_2,lott_3,agroconcept,network,GHG_goal,env_goal,biodiv_goal,acknow_goal,yield_goal,income_goal,info_gew,info_resul,interviewtime
1,13.03.2019 10:59,4925,1.95406,79,3871,107,793,140,0,0,165,0,140,140,0,0,0,3.925,3.925,0,0.9973,0,0,0,0,1,0,Livestock,Kohlfirst/Rhein,62,1,4,2,2,2,1,2,2,4,1,4,1,1,4,2,NA,2,NA,2,NA,3,NA,2,NA,2,NA,2,NA,1,5,1,4,2,NA,2,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,5,1,5,5,1,1,4,4,5,4,5,4,5,1,2,4,3,3,2,6,3,5,4,4,2,2,3,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,12,3,0,2,1,5,6,4,3,2,2,2,999.53
2,13.03.2019 11:08,2176,6.6131,12,1671,0,98,338,119,0,93,0,2088,0,1790,0,338,0,0,0,0,0,0,0,0,1,0,Arable farming,Kohlfirst/Rhein,53,2,5,3,2,2,3,3,3,5,3,3,2,2,2,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,2,NA,2,1,2,4,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,5,5,5,5,5,1,5,5,5,3,5,5,5,2,2,3,3,2,5,6,5,5,4,1,1,4,3,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,0,1,3,4,2,1,6,5,2,2,901.99
3,13.03.2019 11:37,2251,1.39384,31,1507,279,380,81,0,4,512,0,81,81,0,0,0,15.9528,15.9028,14.6137,0,0,0.05,0,0.05,1,0,Livestock,Kohlfirst/Rhein,60,2,4,2,3,1,1,1,3,4,2,1,2,3,1,2,4,2,1,2,1,1,1,2,2,2,3,2,1,2,3,2,1,2,1,2,3,2,2,1,3,1,0,1,NA,1,0,0,1,0,0,0,0,NA,2,3,5,5,1,2,2,3,4,4,5,4,3,1,1,4,2,4,4,6,4,4,4,4,2,4,2,5,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,9,8,0,3,1,4,2,3,6,5,1,1,1832.99
4,13.03.2019 13:54,2389,1.99523,3,1969,71,322,0,0,27,350,0,0,0,0,0,0,52.9,0,0,0,0,52.9,0,52.9,1,0,Livestock,Flaachtal,62,2,4,2,2,2,2,2,2,4,3,3,4,4,2,2,3,2,3,3,4,3,2,3,2,2,3,2,2,2,2,1,4,2,2,2,4,2,4,2,2,1,NA,NA,NA,NA,NA,0,NA,NA,0,1,1,1,4,3,4,1,1,1,2,4,4,4,4,5,3,2,3,3,4,4,5,9,5,7,4,2,1,3,2,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,4,0,1,2,5,4,1,3,6,2,1,2001.28
5,13.03.2019 14:18,3205,3.09942,39,1911,675,461,117,0,14,112,0,117,0,0,0,117,56.5108,54.9184,40.3041,0,1.3424,0.25,0,0.25,1,0,Livestock,Kohlfirst/Rhein,57,1,5,2,3,2,2,1,3,4,1,2,2,2,2,2,3,2,3,2,3,2,1,2,1,1,3,2,1,2,1,2,1,2,1,2,3,2,2,1,3,NA,0,1,0,0,NA,0,1,0,0,1,0,NA,1,5,5,5,1,1,1,3,4,3,5,5,3,1,2,3,4,1,1,6,3,4,4,3,1,1,3,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,7,7,3,0,3,1,6,3,2,5,4,2,2,1809.3
6,13.03.2019 14:48,4912,12.24688,159,3188,268,1145,45,145,116,229,0,2899,0,2920,15,168,11.29,0,0,0,5.63,5.66,5.55,0.11,1,1,Others,Thurtal,NA,1,4,2,2,2,2,1,2,4,3,3,2,3,4,2,4,2,3,2,3,3,3,3,3,1,4,1,4,1,4,1,4,2,3,1,4,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,5,5,2,2,1,1,2,5,2,5,5,2,1,3,3,3,5,5,1,10,1,7,4,1,3,2,4,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,NA,NA,NA,NA,NA,NA,6,9,1,0,4,4,6,5,1,2,3,2,1,1848.24
7,13.03.2019 14:56,3113,1.25375,5,2355,0,156,0,0,4,32,0,189,0,798,0,0,0,0,0,0,0,0,0,0,1,0,Arable farming,Kohlfirst/Rhein,53,1,5,2,2,1,1,1,3,4,4,3,2,3,3,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,1,4,1,4,2,5,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,5,5,5,5,1,2,2,4,3,4,5,5,4,2,2,4,2,3,2,5,3,4,3,5,4,3,3,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,8,8,4,0,4,4,6,5,1,2,3,2,1,2207.44
8,13.03.2019 15:45,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,Andere Gemeinde,NA,2,2,1,2,3,1,2,2,2,2,4,4,4,4,1,4,1,3,1,3,1,3,2,NA,1,4,2,3,2,3,1,4,2,2,2,3,2,3,1,4,NA,NA,NA,NA,1,NA,0,1,NA,0,1,0,NA,2,1,4,4,1,1,1,4,3,4,4,4,2,3,4,3,4,4,3,7,4,6,3,2,1,1,4,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,2,3,2,2,2,3,3,3,10,12,7,0,10,5,3,4,1,2,6,1,1,1677.68
9,13.03.2019 15:52,3095,3.61309,88,1609,458,940,88,0,0,493,0,305,88,761,0,0,48.7596,48.6896,38.1781,0,0,0.07,0,0.07,1,0,Livestock,Stammertal,NA,2,5,2,2,2,2,2,3,4,2,2,1,2,2,2,2,2,1,2,3,2,1,2,1,1,2,2,2,1,3,2,2,2,3,2,4,2,2,2,2,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,NA,2,4,5,5,1,1,2,2,3,4,5,4,4,3,3,3,4,4,3,7,3,5,4,4,2,3,1,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,8,0,1,2,3,5,6,1,4,1,1,1158.93
10,13.03.2019 16:15,330,0.26757,29,0,102,177,31,0,20,322,0,31,28,0,3,0,2.1,0,0,0,2.1,0,0,0,1,0,Livestock,Flaachtal,56,4,3,1,1,1,1,1,1,3,1,1,1,1,1,2,5,2,5,3,NA,3,NA,3,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,5,5,5,5,4,1,1,1,3,2,5,1,5,1,1,1,5,1,5,5,5,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,8,0,1,1,6,5,3,4,2,2,2,1474.03
11,13.03.2019 17:17,3650,4.25366,50,2207,866,547,12,0,18,335,0,0,0,320,0,12,124.9788,40.8588,0,24.0137,0,84.12,0,84.12,1,0,Livestock,Stammertal,36,1,4,1,2,1,2,1,2,4,3,2,2,4,3,2,NA,1,3,1,4,2,2,2,3,1,4,2,NA,2,3,2,2,2,2,1,3,2,NA,1,4,1,NA,NA,0,0,NA,1,1,0,0,NA,0,NA,4,2,4,1,1,2,3,3,4,4,5,4,4,1,3,4,3,2,3,5,3,3,4,3,1,3,3,2,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,8,10,4,0,5,2,6,3,1,4,5,2,1,1943.2
12,13.03.2019 17:56,5107,4.11218,59,1879,1101,1941,0,0,51,575,0,5,0,5,0,0,69.3598,69.3598,63.8,0,0,0,0,0,1,1,Livestock,Flaachtal,41,1,4,1,2,1,3,2,2,4,5,3,4,3,5,1,4,1,5,2,4,2,4,2,2,1,2,2,2,1,4,1,5,2,3,1,5,2,2,1,3,NA,NA,1,0,0,NA,1,NA,NA,0,NA,0,NA,3,1,5,5,1,2,1,4,3,5,5,5,2,4,5,4,1,5,5,11,5,11,4,1,1,4,5,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,1,1,3,5,4,1,2,6,2,2,1806.6
13,13.03.2019 20:19,120,2.12568,24,3559,381,113,0,0,44,791,0,409,0,409,0,0,1.29,0,0,0,1.19,0.1,0,0.1,1,0,Others,Kohlfirst/Rhein,47,2,4,1,2,1,2,2,2,4,4,5,1,5,5,2,3,2,4,2,3,3,2,3,2,1,2,2,5,1,2,1,4,2,4,2,3,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,5,1,5,2,1,5,1,5,3,4,3,2,4,5,5,1,5,5,2,7,4,7,3,1,1,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,1,2,1,NA,6,12,7,0,9,3,5,4,1,2,6,1,1,3497.2
14,13.03.2019 19:36,2831,1.44539,108,1610,601,620,0,0,0,378,0,0,0,0,0,0,26.5582,26.5582,0,21.2849,0,0,0,0,1,0,Livestock,Thurtal,60,1,4,1,2,1,1,2,2,4,2,2,1,3,2,2,2,1,2,1,5,2,2,2,1,1,3,2,3,2,2,1,3,2,3,2,4,2,2,2,2,1,NA,NA,1,0,NA,0,1,NA,1,1,0,0,2,3,5,4,1,4,2,4,3,5,4,4,4,2,2,1,4,3,4,6,5,6,3,2,1,4,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,1,0,1,2,3,5,1,6,4,1,2,1357.52
15,13.03.2019 20:49,3813,1.75223,153,2605,143,933,88,0,44,1274,0,88,83,364,5,0,12.6439,12.6439,10.0356,0,0,0,0,0,1,0,Livestock,Thurtal,60,1,4,1,2,2,1,2,2,4,2,1,2,3,2,1,3,1,2,1,2,1,2,2,1,1,4,2,3,1,3,1,3,1,4,2,2,2,2,1,3,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,0,NA,3,3,5,3,1,1,1,5,3,5,5,5,3,4,2,3,3,4,4,6,5,5,3,2,1,2,3,1,2,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,2,2,2,2,2,2,2,2,2,6,8,8,0,10,3,5,6,1,2,4,1,1,3448.81
16,13.03.2019 20:44,4424,3.02111,65,2813,623,935,0,0,10,756,0,0,0,0,0,0,4.854,0,0,0,4.854,0,0,0,1,0,Others,Kohlfirst/Rhein,39,1,5,2,2,2,2,1,2,4,5,5,3,5,5,1,5,2,4,1,4,1,4,2,4,1,5,2,3,1,4,1,4,2,3,2,5,2,5,2,5,NA,0,NA,NA,1,NA,0,NA,NA,1,1,1,1,2,5,5,5,1,2,4,4,2,3,3,2,4,3,4,3,4,5,3,5,3,2,4,3,3,3,4,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,9,5,1,2,4,5,6,3,1,2,2,2,1729.25
17,13.03.2019 20:47,1734,1.0049,24,1565,0,156,0,0,5,365,0,0,0,0,0,0,21.8724,21.8724,0,0,0,0,0,0,1,0,Livestock,Thurtal,43,2,4,2,2,2,1,1,2,4,2,4,1,3,3,1,4,2,3,2,NA,3,NA,2,NA,1,5,2,2,1,4,1,4,2,2,1,4,2,2,1,4,NA,0,NA,NA,1,NA,0,NA,NA,0,NA,0,NA,5,1,3,3,1,2,1,4,4,3,4,2,3,2,4,4,4,5,3,6,4,5,3,5,2,4,4,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,9,11,5,0,3,3,6,2,1,5,4,1,2,1469.31
